defaulted;term;property_type;annual_income;number_of_children;number_of_family_members;own_car;own_realty;gender;years_employed;age;currently_employed;family_status;credit_amount
no;17;apartment;85600.0;2;2;False;True;male;24;46;True;widowed;531000.0
no;14;apartment;103000.0;1;2;False;True;female;30;60;True;widowed;355000.0
no;5;apartment;96500.0;0;1;True;False;male;30;65;False;single;139000.0
no;20;apartment;106900.0;0;1;False;False;female;23;45;True;single;452073.0
no;20;apartment;63100.0;2;1;False;False;female;26;47;True;married;424000.0
no;14;apartment;83600.0;1;2;True;False;female;22;47;True;single;247000.0
no;10;house;97800.0;1;2;True;True;male;30;60;True;divorced;296000.0
yes;13;house;110300.0;2;3;False;False;female;14;42;True;divorced;514000.0
no;7;house;61500.0;1;2;True;True;male;30;67;True;divorced;83000.0
no;10;house;76200.0;2;3;True;False;male;30;61;True;single;178374.0
no;15;house;81400.0;2;2;True;False;male;30;62;True;married;459000.0
no;13;house;77900.0;1;2;True;True;female;30;77;False;divorced;206000.0
no;6;apartment;117200.0;2;1;True;True;female;30;77;False;single;295000.0
no;23;house;117200.0;0;1;True;True;male;25;49;True;single;528147.0
no;17;house;73500.0;1;2;False;True;female;29;55;True;married;297000.0
yes;5;house;72600.0;1;2;False;False;female;30;60;True;widowed;93000.0
no;11;apartment;85000.0;2;3;True;False;male;28;54;True;widowed;224000.0
no;18;house;78400.0;1;1;True;False;female;24;47;True;single;353000.0
no;5;house;76500.0;2;3;True;True;male;30;61;True;single;81000.0
no;16;house;87600.0;1;1;True;True;female;30;64;True;divorced;446000.0
no;13;apartment;76700.0;1;1;False;True;female;30;78;False;widowed;363000.0
no;22;apartment;113600.0;0;1;False;False;female;22;45;True;married;592000.0
no;16;apartment;117800.0;1;2;True;True;male;30;64;True;married;560000.0
no;5;house;87100.0;2;1;True;True;male;30;73;False;married;189000.0
yes;9;house;77100.0;1;2;True;True;female;27;47;True;married;181000.0
no;13;house;61300.0;1;2;True;True;male;30;72;False;divorced;137000.0
no;8;apartment;74100.0;3;3;True;True;male;30;61;True;married;149000.0
no;20;apartment;60000.0;3;3;False;True;female;21;45;True;married;396000.0
no;23;house;83200.0;2;2;True;True;male;16;43;True;widowed;725000.0
no;13;house;72000.0;1;1;True;True;male;30;75;False;single;301041.0
no;8;apartment;65500.0;3;3;True;False;female;29;51;True;married;201000.0
no;13;apartment;132300.0;2;2;True;True;female;30;70;False;married;827000.0
no;6;house;60500.0;2;2;False;True;male;30;74;False;divorced;117000.0
no;9;house;83000.0;2;2;True;False;female;30;62;True;married;249000.0
no;11;apartment;75500.0;2;2;True;False;female;30;63;True;married;318000.0
no;8;house;92100.0;1;1;False;False;female;30;55;True;single;303000.0
no;12;apartment;63100.0;3;3;False;True;female;30;67;True;divorced;310000.0
no;21;house;60200.0;1;1;False;False;male;21;43;True;widowed;324384.0
no;18;apartment;75100.0;2;1;False;False;female;24;47;True;divorced;495000.0
no;18;apartment;86100.0;2;3;True;False;male;25;48;True;divorced;497000.0
no;9;house;89300.0;2;3;False;True;female;30;53;True;divorced;175000.0
no;16;house;121300.0;0;1;False;True;male;30;59;True;single;411000.0
no;24;house;109300.0;2;1;True;False;male;27;49;True;married;1183000.0
no;11;house;67800.0;1;1;False;True;male;30;63;True;divorced;310000.0
no;6;house;72400.0;2;1;True;False;male;30;55;True;single;141000.0
no;7;house;66300.0;1;1;False;True;female;30;60;True;divorced;209000.0
no;18;apartment;93600.0;0;1;False;False;male;23;47;True;divorced;416000.0
no;19;house;81000.0;3;3;False;False;male;21;42;True;married;621426.0
no;25;apartment;88500.0;2;1;True;False;male;24;45;True;married;941000.0
no;8;apartment;72800.0;2;2;True;True;female;25;47;True;married;205000.0
no;12;apartment;103100.0;2;1;True;True;female;30;72;False;single;468348.0
no;22;apartment;73000.0;3;3;True;True;female;23;41;True;divorced;704000.0
yes;12;apartment;70500.0;1;2;False;False;male;30;52;True;widowed;313000.0
no;18;apartment;96200.0;2;3;True;False;male;30;49;True;divorced;544329.0
no;16;house;98100.0;1;1;True;True;male;25;50;True;married;632000.0
no;25;apartment;113200.0;3;4;True;True;female;17;42;True;married;1126230.0
no;23;house;110500.0;0;1;False;True;male;19;44;True;single;561000.0
no;29;house;69900.0;3;4;True;False;male;18;41;False;married;543000.0
no;15;apartment;97200.0;1;1;False;True;male;29;51;True;married;636000.0
